,type,elevation_ft,continent,Longitude
433,heliport,840.0,NA,-97.3917007446289
434,small_airport,1289.0,NA,-93.5969009399414
435,small_airport,200.0,NA,-149.724439
436,seaplane_base,8.0,NA,-87.754678
437,heliport,1240.0,NA,-111.838835
438,small_airport,65.0,NA,-69.88710021972656
439,heliport,1810.0,NA,-120.8270034790039
440,small_airport,1025.0,NA,-120.5540008544922
441,heliport,270.0,NA,-119.306181
442,small_airport,5600.0,NA,-104.04100036621094
443,seaplane_base,881.0,NA,-73.09310150146484
444,small_airport,615.0,NA,-96.23310089111328
445,small_airport,35.0,NA,-81.48370361328125
446,small_airport,65.0,NA,-80.77279663085938
447,small_airport,103.0,NA,-81.32869720458984
448,heliport,960.0,NA,-81.52619934082031
449,small_airport,12.0,NA,-81.28589630126953
450,small_airport,2680.0,NA,-116.7770004272461
451,heliport,943.0,NA,-85.426386
452,seaplane_base,812.0,NA,-85.830556
453,small_airport,400.0,NA,-89.20290374759999
454,small_airport,1250.0,NA,-97.58000183105467
455,heliport,435.0,NA,-87.946994
456,small_airport,820.0,NA,-84.6260986328125
457,heliport,4.0,NA,-90.18260192871094
458,small_airport,665.0,NA,-88.48919677734375
459,small_airport,51.0,NA,-92.02359771728516
460,small_airport,360.0,NA,-71.49620056152344
461,heliport,470.0,NA,-76.61000061035156
462,small_airport,554.0,NA,-70.34529876708984
463,heliport,1019.0,NA,-84.53659821
464,seaplane_base,1372.0,NA,-93.0543975830078
465,small_airport,955.0,NA,-94.28379821777344
466,small_airport,345.0,NA,-89.86830139
467,small_airport,3450.0,NA,-108.809624
468,small_airport,550.0,NA,-76.32879638671875
469,small_airport,750.0,NA,-80.4655990600586
470,small_airport,1990.0,NA,-102.0979995727539
471,small_airport,1467.0,NA,-97.07949829101562
472,heliport,574.0,NA,-71.1358032227
473,heliport,429.0,NA,-74.30400085449219
474,small_airport,650.0,NA,-74.50559997558594
475,small_airport,1230.0,NA,-80.5636978149414
476,small_airport,635.0,NA,-95.25830078125
477,small_airport,1518.0,NA,-98.605477
478,small_airport,4990.0,NA,-121.11699676513672
479,heliport,1812.0,NA,-75.49960327148438
480,heliport,310.0,NA,-76.28079986572266
481,small_airport,130.0,NA,-71.62059783935547
482,heliport,1208.0,NA,-98.22450256347656
483,small_airport,1447.0,NA,-98.742451
484,small_airport,820.0,NA,-86.474357
485,small_airport,1040.0,NA,-97.74749755859376
486,small_airport,6397.0,NA,-115.86000061035156
487,small_airport,1000.0,NA,-79.74980163574219
488,small_airport,280.0,NA,-96.504031
489,small_airport,45.0,NA,-95.77749633789062
490,heliport,5742.0,NA,-150.75375
491,small_airport,228.0,NA,-149.847333
492,heliport,310.0,NA,-93.23989868164062
493,small_airport,4970.0,NA,-110.040007
494,heliport,320.0,NA,-121.132503
495,small_airport,2275.0,NA,-121.05699920654295
496,heliport,272.0,NA,-119.313572
497,small_airport,4180.0,NA,-103.65299987792967
498,small_airport,130.0,NA,-81.41310119628906
499,small_airport,71.0,NA,-82.0873031616211
500,small_airport,60.0,NA,-81.97059631347656
501,small_airport,230.0,NA,-83.68409729003906
502,seaplane_base,1110.0,NA,-93.37079620361328
503,small_airport,820.0,NA,-92.4093017578125
504,small_airport,3835.0,NA,-114.8550033569336
505,small_airport,880.0,NA,-86.44499969482422
506,small_airport,850.0,NA,-85.42500305175781
507,heliport,874.0,NA,-89.07430267333984
508,small_airport,970.0,NA,-95.13829803466795
509,heliport,531.0,NA,-85.63939666748047
510,heliport,2.0,NA,-90.20169830322266
511,small_airport,1000.0,NA,-88.74320220947266
512,heliport,181.0,NA,-91.38459777832033
513,small_airport,403.0,NA,-71.50589752197266
514,small_airport,260.0,NA,-70.85469818115234
515,heliport,842.0,NA,-84.56079864501953
516,small_airport,1060.0,NA,-95.6635971069336
517,small_airport,1210.0,NA,-93.36329650878906
518,small_airport,450.0,NA,-73.8759994506836
519,small_airport,310.0,NA,-79.02999877929688
520,small_airport,1250.0,NA,-96.193603515625
521,heliport,100.0,NA,-74.6865005493164
522,small_airport,561.0,NA,-79.650311
523,heliport,254.0,NA,-74.04889678955078
524,small_airport,700.0,NA,-95.86389923095705
525,heliport,487.0,NA,-121.163827
526,small_airport,1780.0,NA,-77.98809814453125
527,heliport,480.0,NA,-75.1427001953125
528,small_airport,2614.0,NA,-117.28399658203124
529,small_airport,923.0,NA,-97.497002
530,small_airport,787.0,NA,-97.86699676513672
531,heliport,924.0,NA,-83.94400024414062
532,small_airport,3100.0,NA,-103.16500091552734
533,small_airport,2522.0,NA,-102.02400207519533
534,small_airport,2375.0,NA,-80.493896484375
535,heliport,1390.0,NA,-78.98500061035156
536,heliport,10.0,NA,-77.00749969482422
537,heliport,2081.0,NA,-117.40699768066406
538,small_airport,705.0,NA,-91.30760192871094
539,heliport,710.0,NA,-98.49220275878906
540,seaplane_base,687.0,NA,-93.0155029296875
541,heliport,292.0,NA,-136.013611
542,small_airport,65.0,NA,-151.2352525
543,small_airport,305.0,NA,-162.899994
544,small_airport,800.0,NA,-146.86199951171875
545,small_airport,463.0,NA,-149.32200622558594
546,small_airport,81.0,NA,-150.678611
547,small_airport,250.0,NA,-150.49400329589844
548,small_airport,1580.0,NA,-142.731832
549,small_airport,1800.0,NA,-147.94400024414062
550,small_airport,18.0,NA,-150.95899963378906
551,small_airport,110.0,NA,-150.0590057373047
552,heliport,619.0,NA,-86.58889770507812
553,small_airport,97.0,NA,-87.65689849853516
554,heliport,1040.0,NA,-85.83329772949219
555,heliport,295.0,NA,-86.94029998779297
556,heliport,870.0,NA,-85.755793
557,small_airport,247.0,NA,-87.25279998779297
558,heliport,155.0,NA,-87.07330322265625
559,heliport,621.0,NA,-85.96530151367188
560,heliport,763.0,NA,-86.77310180664062
561,small_airport,590.0,NA,-87.63249969482422
562,heliport,1352.0,NA,-94.13710021972656
563,small_airport,217.0,NA,-90.35009765625
564,heliport,1251.0,NA,-94.46005
565,heliport,382.0,NA,-90.70179748535156
566,heliport,547.0,NA,-93.03099822998048
567,heliport,549.0,NA,-93.8520965576172
568,heliport,1540.0,NA,-93.74349975585938
569,heliport,1161.0,NA,-112.03976
570,small_airport,1930.0,NA,-113.640625
571,small_airport,1505.0,NA,-112.28700256347656
572,small_airport,2080.0,NA,-112.603265
573,heliport,1213.0,NA,-112.079301
574,heliport,1180.0,NA,-111.964567
575,small_airport,124.0,NA,-68.7677993774414
576,small_airport,1470.0,NA,-72.8271026611
577,small_airport,1000.0,NA,-94.78050231933594
578,small_airport,760.0,NA,-88.70339965820312
579,small_airport,960.0,NA,-85.28060150146484
580,small_airport,727.0,NA,-89.132599
581,small_airport,640.0,NA,-88.60559844970703
582,heliport,320.0,NA,-74.97570037841797
583,heliport,294.0,NA,-118.456257
584,small_airport,570.0,NA,-120.01300048828124
585,small_airport,660.0,NA,-120.065002
586,small_airport,3100.0,NA,-116.74500274658205
587,small_airport,480.0,NA,-116.0161111
588,heliport,158.0,NA,-118.087997437
589,small_airport,2500.0,NA,-116.843002319
590,small_airport,1140.0,NA,-120.338996887
591,heliport,5000.0,NA,-108.047973
592,heliport,4356.0,NA,-103.7963389
593,small_airport,5800.0,NA,-104.23400116
594,heliport,4635.0,NA,-104.527999878
595,heliport,5120.0,NA,-104.887001038
596,small_airport,5686.0,NA,-104.143997192
597,heliport,5204.0,NA,-105.084999084
598,small_airport,5135.0,NA,-105.071998596
599,heliport,3575.0,NA,-102.60900116
600,heliport,5563.0,NA,-105.091003418
601,small_airport,500.0,NA,-119.913002014
602,small_airport,3042.0,NA,-117.555999756
603,heliport,1199.3771003119025,NA,-117.084999084
604,small_airport,490.0,NA,-116.892997742
605,heliport,770.0,NA,-118.254997253
606,heliport,46.0,NA,-117.858001709
607,small_airport,2410.0,NA,-118.282997131
608,heliport,473.0,NA,-118.264967
609,small_airport,2510.0,NA,-117.634002686
610,heliport,1482.0,NA,-117.151000977
611,small_airport,140.0,NA,-120.764758
612,small_airport,67.0,NA,-121.688265
613,heliport,5047.0,NA,-105.125999451
