,Unnamed: 0,type,elevation_ft,continent,Longitude
9050,9889,small_airport,410.0,NA,-78.78730010986328
9051,9890,heliport,1050.0,NA,-83.72989654541016
9052,9891,heliport,768.0,NA,-83.42379760742188
9053,9892,heliport,1297.0,NA,-97.6042022705
9054,9893,small_airport,3710.0,NA,-117.669998169
9055,9894,small_airport,1040.0,NA,-77.14136
9056,9895,small_airport,278.0,NA,-80.688611
9057,9896,heliport,786.0,NA,-97.36969757080078
9058,9897,small_airport,800.0,NA,-96.41560363769533
9059,9898,heliport,350.0,NA,-89.23750305175781
9060,9899,heliport,421.0,NA,-94.6812973022461
9061,9900,small_airport,520.0,NA,-99.56700134277344
9062,9901,small_airport,4900.0,NA,-109.4010009765625
9063,9902,small_airport,450.0,NA,-78.4666976928711
9064,9903,heliport,1134.0,NA,-120.52100372314452
9065,9905,small_airport,4340.0,NA,-107.2770004272461
9066,9906,small_airport,1200.0,NA,-98.0037117004
9067,9908,small_airport,2035.0,NA,-98.546151
9068,9909,seaplane_base,337.0,NA,-149.2779998779297
9069,9910,small_airport,992.0,NA,-84.00440216064453
9070,9911,small_airport,244.0,NA,-159.216003
9071,9912,small_airport,25.0,NA,-157.399002075
9072,9913,small_airport,1212.0,NA,-82.00980377197266
9073,9914,small_airport,800.0,NA,-149.29073
9074,9915,small_airport,260.0,NA,-136.019443
9075,9916,small_airport,2717.0,NA,-148.52200317382812
9076,9917,small_airport,3120.0,NA,-143.23500061035156
9077,9918,seaplane_base,500.0,NA,-149.23199462890625
9078,9919,small_airport,300.0,NA,-161.4380035
9079,9920,small_airport,30.0,NA,-151.44900512695312
9080,9921,small_airport,1009.0,NA,-145.8300018310547
9081,9922,small_airport,340.0,NA,-149.81900024414062
9082,9923,small_airport,366.0,NA,-149.6479949951172
9083,9924,small_airport,250.0,NA,-149.81700134277344
9084,9925,small_airport,90.0,NA,-149.6820068359375
9085,9926,heliport,540.0,NA,-86.7161
9086,9927,heliport,606.0,NA,-86.669444
9087,9928,heliport,250.0,NA,-87.450491
9088,9929,heliport,570.0,NA,-85.795408
9089,9930,heliport,509.0,NA,-86.050671
9090,9931,heliport,107.0,NA,-87.7835056
9091,9933,heliport,287.0,NA,-85.8119444
9092,9934,heliport,441.0,NA,-87.9908334
9093,9935,heliport,620.0,NA,-86.7020034790039
9094,9936,small_airport,207.0,NA,-91.2064971923828
9095,9937,small_airport,466.0,NA,-93.517234
9096,9938,small_airport,233.0,NA,-92.167655
9097,9939,small_airport,250.0,NA,-91.989486
9098,9940,small_airport,285.0,NA,-71.509002
9099,9941,small_airport,540.0,NA,-72.44229888916016
9100,9942,seaplane_base,712.1670117322291,NA,-131.73800659179688
9101,9943,small_airport,3840.0,NA,-118.5979995727539
9102,9944,heliport,2240.0,NA,-116.995977759
